Season,TeamID,OrdinalRank_mean,OrdinalRank_min,OrdinalRank_max,id
2003,1102,144.2875,52,219,20031102
2003,1103,182.205,99,284,20031103
2003,1104,27.6555023923445,1,106,20031104
2003,1105,305.3775,185,323,20031105
2003,1106,243.265,166,307,20031106
2003,1107,291.9875,181,316,20031107
2003,1108,281.05,154,316,20031108
2003,1110,198.24,87,268,20031110
2003,1111,129.0,51,268,20031111
2003,1112,3.6767441860465118,1,47,20031112
2003,1113,40.8925,10,145,20031113
2003,1114,151.89,93,213,20031114
2003,1115,319.48,202,327,20031115
2003,1116,127.5025,31,274,20031116
2003,1117,197.25,65,291,20031117
2003,1119,316.69,258,326,20031119
2003,1120,39.70074812967581,8,109,20031120
2003,1122,122.485,27,271,20031122
2003,1123,133.965,10,250,20031123
2003,1124,116.4325,28,200,20031124
2003,1125,160.7625,70,248,20031125
2003,1126,297.91,137,324,20031126
2003,1127,201.9925,122,286,20031127
2003,1128,199.1234256926952,118,275,20031128
2003,1129,179.2725,108,248,20031129
2003,1130,59.4325,9,297,20031130
2003,1131,123.4125,37,218,20031131
2003,1132,164.3975,73,292,20031132
2003,1133,186.6675,87,264,20031133
2003,1135,202.7275,92,312,20031135
2003,1137,218.3325,117,268,20031137
2003,1138,262.6875,162,310,20031138
2003,1139,32.1625,1,126,20031139
2003,1140,27.54,7,77,20031140
2003,1141,75.095,12,215,20031141
2003,1142,217.745,100,326,20031142
2003,1143,40.74818401937046,9,121,20031143
2003,1144,298.015,136,324,20031144
2003,1145,189.285,44,264,20031145
2003,1147,242.9925,170,307,20031147
2003,1148,229.71032745591938,82,297,20031148
2003,1149,214.105,79,301,20031149
2003,1150,104.455,37,303,20031150
2003,1151,110.51,38,255,20031151
2003,1152,304.3575,254,323,20031152
2003,1153,33.065,10,95,20031153
2003,1154,279.52,199,323,20031154
2003,1155,74.7975,2,156,20031155
2003,1156,228.0325,99,292,20031156
2003,1157,220.5425,73,311,20031157
2003,1158,85.07980049875312,1,184,20031158
2003,1159,259.3675,196,311,20031159
2003,1160,64.3275,7,280,20031160
2003,1161,99.33,45,186,20031161
2003,1162,317.7025,287,326,20031162
2003,1163,31.087264150943398,3,77,20031163
2003,1164,273.7375,168,318,20031164
2003,1165,286.7275,237,320,20031165
